Name = Andorra,"
Capital = Andorra la Vella","
Population = 84000","
Area = 468.0


"
Name = United Arab Emirates,"
Capital = Abu Dhabi","
Population = 4975593","
Area = 82880.0


"
Name = Afghanistan,"
Capital = Kabul","
Population = 29121286","
Area = 647500.0


"
Name = Antigua and Barbuda,"
Capital = St. John's","
Population = 86754","
Area = 443.0


"
Name = Anguilla,"
Capital = The Valley","
Population = 13254","
Area = 102.0


"
Name = Albania,"
Capital = Tirana","
Population = 2986952","
Area = 28748.0


"
Name = Armenia,"
Capital = Yerevan","
Population = 2968000","
Area = 29800.0


"
Name = Angola,"
Capital = Luanda","
Population = 13068161","
Area = 1246700.0


"
Name = Antarctica,"
Capital = None","
Population = 0","
Area = 1.4E7


"
Name = Argentina,"
Capital = Buenos Aires","
Population = 41343201","
Area = 2766890.0


"
Name = American Samoa,"
Capital = Pago Pago","
Population = 57881","
Area = 199.0


"
Name = Austria,"
Capital = Vienna","
Population = 8205000","
Area = 83858.0


"
Name = Australia,"
Capital = Canberra","
Population = 21515754","
Area = 7686850.0


"
Name = Aruba,"
Capital = Oranjestad","
Population = 71566","
Area = 193.0


"
Name = Åland,"
Capital = Mariehamn","
Population = 26711","
Area = 1580.0


"
Name = Azerbaijan,"
Capital = Baku","
Population = 8303512","
Area = 86600.0


"
Name = Bosnia and Herzegovina,"
Capital = Sarajevo","
Population = 4590000","
Area = 51129.0


"
Name = Barbados,"
Capital = Bridgetown","
Population = 285653","
Area = 431.0


"
Name = Bangladesh,"
Capital = Dhaka","
Population = 156118464","
Area = 144000.0


"
Name = Belgium,"
Capital = Brussels","
Population = 10403000","
Area = 30510.0


"
